anho_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,Francis Chan,2010-01-21T08:07:07.579426,59,318
1940,Jeffrey Archer,2008-04-01T03:28:50.625462,187,319
1964,Elizabeth Wein,2008-04-01T03:28:50.625462,53,320
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,321
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,322
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,323
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,324
1973,"Clare, Cassandra",2008-04-29T15:03:11.581851,446,325
,Kwang W. Jeon,2008-04-01T03:28:50.625462,187,326
,,2012-04-13T19:29:16.866407,17,327
,Rainbow Rowell,2010-12-04T09:05:46.034827,85,328
1947,"King, Stephen",2008-04-01T03:28:50.625462,608,329
,Les Scher,,1,330
,Susannah Cahalan,2012-04-18T10:11:21.174187,8,331
1953,"Moore, Alan",2008-04-01T03:28:50.625462,286,332
1948,Ina Garten,2008-04-01T03:28:50.625462,28,333
1948,Ina Garten,2008-04-01T03:28:50.625462,28,334
,Megan Atwood,2011-07-25T15:34:19.391745,137,335
,Shaun Simon,2019-07-19T05:20:39.516802,13,336
1954,Benjamin Alire Sáenz,2008-11-04T06:06:55.764751,57,337
1963,Karen Kingsbury,2008-04-01T03:28:50.625462,140,338
1964,Dan Brown,2008-04-01T03:28:50.625462,46,339
1973,Anthony Doerr,2008-04-01T03:28:50.625462,23,340
,Sarah Andersen,2019-07-19T12:36:34.827337,33,341
,,2025-06-18T21:19:46.238162,2,342
1907,I. F. Stone,2008-04-01T03:28:50.625462,30,343
1859,"Doyle, Arthur Conan",2008-04-01T03:28:50.625462,9173,344
,Mary Elizabeth Williams,2009-10-10T04:50:34.666571,4,345
1922,Howard Zinn,2008-04-29T13:35:46.876380,166,346
,,,,347
1912,Barbara Wertheim Tuchman,2008-04-01T03:28:50.625462,77,348
,,2010-07-01T05:01:10.160327,34,349
,Charles C. Mann,2008-04-01T03:28:50.625462,16,350
,,2021-10-08T07:40:25.447834,1,351
,,2022-10-17T16:04:44.939454,3,352
,Daniel O'Malley,2011-07-27T00:55:34.685215,12,353
1948,Ruth Reichl,2008-04-01T03:28:50.625462,26,354
1962,,2008-04-29T13:35:46.876380,18,355
,Nora Zelevansky,2012-03-21T21:19:29.179126,5,356
,Anthony D. Barnosky,,8,357
,,2018-06-02T21:27:13.169685,22,358
1950,Diane Chamberlain,2008-04-01T03:28:50.625462,44,359
1811,John Maddison Morton,2008-04-01T03:28:50.625462,365,360
1977,Olivia Laing,2011-07-30T12:01:24.481007,6,361
,,2020-06-02T01:55:12.660008,4,362
,Jeanne Safer,,8,363
,,2021-10-09T14:33:59.450416,1,364
1927,Neil Simon,2009-02-18T02:48:41.511919,66,365
1929,Anne Frank,2008-04-01T03:28:50.625462,190,366
1858,E. Nesbit,2008-04-01T03:28:50.625462,279,367
1984,Marissa Meyer,2011-11-16T08:42:44.586982,44,368
,,2025-03-31T17:53:48.714101,1,369
,"Norris, Donald",2019-07-19T05:24:43.305840,2,370
,,2019-10-11T15:07:01.628660,1,371
1899,Maxwell Maltz,2008-04-01T03:28:50.625462,37,372
1893,Dorothy L. Sayers,2008-04-01T03:28:50.625462,406,373
1973,Livia Dare,2008-04-29T13:35:46.876380,275,374
,,2016-10-14T14:08:35.306903,13,375
,,,9,376
,,2022-03-03T17:34:56.994725,1,377
1775,"Austen, Jane",2008-04-01T03:28:50.625462,2205,378
,Sally Cook,2019-05-23T20:43:58.682144,11,379
,,2020-08-18T11:55:50.228869,25,380
,,2016-07-29T15:33:57.759325,3,381
,Giada De Laurentiis,,39,382
,,2019-11-02T19:12:48.203574,7,383
,Rainbow Rowell,2010-12-04T09:05:46.034827,85,384
1913,Gene Zion,2008-04-01T03:28:50.625462,39,385
,,2008-04-01T03:28:50.625462,,386
,Nevada Barr,2008-04-01T03:28:50.625462,87,387
,,2019-03-27T02:32:27.574438,13,388
1844,Andrew Lang,2008-04-30T09:38:13.731961,646,389
,,2015-09-24T22:00:52.762125,2,390
1902,Georgette Heyer,2008-04-01T03:28:50.625462,85,391
1950,"Huffington, Arianna Stassinopoulos",2008-04-01T03:28:50.625462,26,392
1962,Hannah Rothschild,2018-01-13T05:08:05.971092,14,393
,Alejandro Cremades,2019-07-19T12:23:02.450820,2,394
,Morgan Matson,2010-01-21T12:52:45.864040,29,395
1973,Sylvain Neuvel,2008-09-15T17:57:00.218974,24,396
1913,"Wilson, Angus",2008-04-01T03:28:50.625462,102,397
,,,168,398
,Derek Benfield,,39,399
,Graham Swift,2008-10-17T08:42:10.041620,37,400
1916,"Cleary, Beverly.",2008-04-01T03:28:50.625462,107,401
1946,Patti Smith,2008-04-01T03:28:50.625462,37,402
,,2016-07-21T00:51:51.168955,8,403
,,2019-10-08T01:58:51.346183,17,404
,,2017-03-17T22:34:50.971199,5,405
,Lisa Beazley,2019-07-19T10:36:25.219647,2,406
,Mark Wolynn,2019-05-24T06:21:16.251786,3,407
1963,"James, E. L.",2012-03-15T23:07:06.804942,29,408
1928,Hubert Selby,2008-04-01T03:28:50.625462,26,409
,Rosemary Carter,2008-04-01T03:28:50.625462,84,410
